,着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
8,9,7,13,ミラキュラスパワー,牝2,54.0,柴田大知,1:50.7,1.1/4,**,5-5-4-6,37.0,94.8,11.0,436(+2),,,,[東]上原博之,サラブレッドクラブ・ラフィアン,
9,10,3,6,マイネルゾンターク,牡2,55.0,宮崎北斗,1:50.9,1,**,9-9-14-13,36.5,527.2,16.0,462(-8),,,,[東]勢司和浩,サラブレッドクラブ・ラフィアン,
10,11,4,8,トーセンワンピース,牝2,54.0,勝浦正樹,1:51.0,3/4,**,9-9-11-11,36.7,83.4,10.0,452(-2),,,,[東]柴田政人,島川隆哉,
11,12,6,12,マックスアドバンス,牡2,55.0,内田博幸,1:51.0,クビ,**,16-16-15-15,36.4,219.0,13.0,500(-2),,,,[東]勢司和浩,柳内正基,
12,13,1,2,スリーヴリーグ,牡2,54.0,武藤雅,1:51.0,アタマ,**,6-6-9-11,36.9,149.0,12.0,526(+4),,,,[東]武藤善則,Ｇ１レーシング,
13,14,1,1,ゼルター,牡2,55.0,福永祐一,1:51.7,4,**,3-3-4-9,37.9,15.8,6.0,500(+2),,,,[東]加藤征弘,ゴドルフィン,
14,15,8,15,プリマコロン,牝2,54.0,田中勝春,1:51.8,1/2,**,13-12-11-13,37.5,461.2,14.0,482(+14),,,,[東]天間昭一,臼井義太郎,
15,16,4,7,マイネルオニキス,牡2,55.0,松岡正海,1:54.8,大,**,12-12-15-16,40.1,469.0,15.0,466(+14),,,,[東]高木登,サラブレッドクラブ・ラフィアン,
0,1,6,8,クリノライメイ,牡4,57.0,蛯名正義,1:54.4,,**,2-2-2-2,37.1,10.4,5.0,508(-2),,,,[西]荒川義之,栗本博晴,"1,050.0"
1,2,3,3,レッドアトゥ,牝4,55.0,岩田康誠,1:54.4,クビ,**,5-5-6-6,36.7,1.9,1.0,460(-2),,,,[西]松田国英,東京ホースレーシング,420.0
2,3,8,13,グッドラックサマー,牡4,54.0,野中悠太,1:54.5,1/2,**,1-1-1-1,37.2,40.4,8.0,552(0),,,,[東]尾形和幸,澤田孝之,260.0
3,4,1,1,マサキノテソーロ,牡4,57.0,大野拓弥,1:54.9,2.1/2,**,3-3-3-3,37.4,8.1,3.0,532(+6),,,,[東]高木登,了徳寺健二ホールディングス,160.0
4,5,2,2,カフェアトラス,牡3,56.0,内田博幸,1:55.0,1/2,**,5-6-6-6,37.2,13.4,6.0,508(+6),,,,[東]古賀慎明,西川光一,105.0
5,6,4,4,ビービーガウディ,牡4,57.0,戸崎圭太,1:55.0,クビ,**,9-8-10-8,37.0,8.9,4.0,486(+4),,,,[東]久保田貴,坂東牧場,
6,7,5,7,スクラッタ,牝5,55.0,嘉藤貴行,1:55.2,3/4,**,12-13-12-12,37.0,159.7,11.0,418(-2),,,,[東]武市康男,吉田照哉,
7,8,7,10,ジェイケイライアン,牡6,57.0,田辺裕信,1:55.2,クビ,**,7-6-3-3,37.7,18.8,7.0,488(+6),,,,[東]松永康利,小谷野次郎,
8,9,8,12,テンノサクラコ,牝5,55.0,勝浦正樹,1:55.3,クビ,**,10-10-6-8,37.5,50.5,9.0,494(+2),,,,[東]小西一男,天白泰司,
9,10,4,5,フクノグリュック,牡6,57.0,酒井学,1:55.5,1.1/4,**,7-8-6-8,37.7,163.2,12.0,512(+2),,,,[東]杉浦宏昭,福島祐子,
10,11,5,6,クールエイジア,牡6,57.0,三浦皇成,1:55.6,3/4,**,12-11-10-11,37.6,76.6,10.0,460(0),,,,[東]鈴木伸尋,山王飯店,
11,12,7,11,イレイション,牡6,57.0,ビュイッ,1:56.2,3.1/2,**,3-3-3-3,38.8,4.8,2.0,508(+8),,,,[東]池上昌和,ゴドルフィン,
12,13,6,9,ウイントリニティー,牡4,57.0,丹内祐次,1:56.6,2.1/2,**,11-11-12-12,38.3,332.3,13.0,492(-6),,,,[東]高橋祥泰,ウイン,
0,1,1,2,スカイシアター,牝2,54.0,石川裕紀,1:37.0,,**,5-4-6,35.6,38.6,8.0,422(0),,,,[東]高柳瑞樹,ロードホースクラブ,700.0
1,2,4,7,シャワークライム,牝2,53.0,木幡巧也,1:37.0,クビ,**,13-10-6,35.1,85.2,11.0,426(0),,,,[東]田中剛,吉田照哉,280.0
2,3,7,13,スマイルワールド,牝2,54.0,蛯名正義,1:37.1,1/2,**,4-4-3,35.7,52.7,10.0,410(0),,,,[東]和田勇介,吉田安惠,180.0
3,4,3,5,テミス,牝2,54.0,内田博幸,1:37.2,3/4,**,2-2-1,36.0,13.6,4.0,440(0),,,,[東]黒岩陽一,カナヤマホールディングス,110.0
4,5,1,1,ミスマリア,牝2,54.0,田辺裕信,1:37.3,クビ,**,5-4-5,35.9,1.7,1.0,446(0),,,,[東]栗田徹,山口功一郎,70.0
5,6,8,15,ミツカネローズ,牝2,54.0,勝浦正樹,1:37.4,1/2,**,9-10-9,35.5,19.1,5.0,426(0),,,,[東]本間忍,小山田満,
6,7,3,6,エレベル,牝2,54.0,横山典弘,1:37.4,クビ,**,11-10-13,35.5,4.6,2.0,414(0),,,,[東]中舘英二,吉田照哉,
7,8,8,16,スリーオーラ,牝2,51.0,木幡育也,1:37.7,1.3/4,**,14-10-9,35.8,230.5,13.0,420(0),,,,[東]柄崎孝,永井商事,
8,9,7,14,マメールロア,牝2,54.0,三浦皇成,1:37.8,3/4,**,5-8-6,36.1,9.6,3.0,398(0),,,,[東]高柳瑞樹,キャロットファーム,
9,10,2,4,ミサトテスコ,牝2,54.0,武士沢友,1:37.9,3/4,**,11-14-13,35.8,332.1,15.0,434(0),,,,[東]谷原義明,戸部政彦,
10,11,4,8,ペイシャカノープス,牝2,53.0,木幡初也,1:38.0,1/2,**,5-7-9,36.5,25.6,6.0,448(0),,,,[東]高市圭二,北所直人,
11,12,2,3,メイチャリティ,牝2,54.0,大野拓弥,1:38.3,1.3/4,**,1-1-2,37.1,30.3,7.0,452(0),,,,[東]岩戸孝樹,千明牧場,
12,13,6,12,マナツノユキ,牝2,54.0,宮崎北斗,1:38.6,1.3/4,**,15-15-16,36.2,141.5,12.0,470(0),,,,[東]菊沢隆徳,澤田孝之,
13,14,5,9,テイエムワンダー,牝2,54.0,丹内祐次,1:38.6,アタマ,**,16-15-15,36.2,299.5,14.0,416(0),,,,[東]加藤和宏,竹園正繼,
14,15,5,10,エンジェルインメイ,牝2,54.0,戸崎圭太,1:39.0,2.1/2,**,2-3-3,37.7,50.7,9.0,412(0),,,,[東]武藤善則,谷口祐人,
15,16,6,11,リローズ,牝2,54.0,嘉藤貴行,1:39.6,3.1/2,**,9-8-9,37.9,423.9,16.0,458(0),,,,[東]土田稔,杉浦和也,
0,1,8,16,テーオーエナジー,牡3,54.0,岩田康誠,1:50.9,,**,2-2-2-2,36.8,4.1,3.0,506(+8),,,,[西]宮徹,小笹公也,"2,235.0"
1,2,6,12,チュウワウィザード,牡3,54.0,田辺裕信,1:51.3,2.1/2,**,7-6-6-6,36.7,3.9,2.0,476(+4),,,,[西]大久保龍,中西忍,890.0
2,3,7,13,クインズサターン,牡5,56.0,戸崎圭太,1:51.3,ハナ,**,12-11-9-11,36.4,5.5,4.0,482(+8),,,,[西]野中賢二,亀田和弘,555.0
3,4,2,3,クイーンマンボ,牝4,55.0,酒井学,1:51.4,1/2,**,7-8-6-5,36.8,10.9,5.0,506(0),,,,[西]中竹和也,ヒダカ・ブリーダーズ・ユニオン,330.0
4,5,1,2,アングライフェン,牡6,55.0,三浦皇成,1:51.7,1.3/4,**,15-15-12-11,36.7,17.6,6.0,478(+4),,,,[西]安田隆行,前田幸治,220.0
5,6,4,8,コスモカナディアン,牡5,55.0,丹内祐次,1:51.9,1.1/4,**,3-4-3-3,37.6,23.1,7.0,496(+6),,,,[東]金成貴史,ビッグレッドファーム,
6,7,5,10,マイネルバサラ,牡5,57.0,柴田大知,1:52.4,3,**,3-2-3-3,38.2,48.5,9.0,490(+14),,,,[東]松山将樹,サラブレッドクラブ・ラフィアン,
7,8,3,6,トップディーヴォ,牡6,56.0,ビュイッ,1:52.6,1.1/4,**,7-9-9-9,37.8,63.1,10.0,494(0),,,,[西]昆貢,紅露純,
8,9,7,14,リーゼントロック,牡7,56.0,内田博幸,1:52.6,アタマ,**,3-4-5-6,38.2,125.9,11.0,526(+8),,,,[西]矢作芳人,三浦大輔,
9,10,4,7,タガノディグオ,牡4,55.0,大野拓弥,1:52.8,1.1/4,**,1-1-1-1,38.8,29.5,8.0,528(+2),,,,[西]宮徹,八木良司,
10,11,2,4,シャイニービーム,牡6,53.0,石川裕紀,1:52.9,クビ,**,16-16-16-16,37.1,261.5,16.0,458(+10),,,,[西]武幸四郎,小林昌志,
11,12,8,15,メイショウスミトモ,牡7,57.0,古川吉洋,1:53.1,1.1/4,**,13-13-12-13,38.0,148.2,13.0,488(+8),,,,[西]南井克巳,松本好雄,
12,13,5,9,フェニックスマーク,牡4,56.0,横山典弘,1:53.1,クビ,**,6-6-6-8,38.5,3.6,1.0,558(+10),,,,[東]田島俊明,伊東純一,
13,14,1,1,マインシャッツ,牡5,54.0,勝浦正樹,1:53.2,クビ,**,13-13-15-14,37.8,149.9,14.0,490(+8),,,,[西]西浦勝一,吉田照哉,
14,15,3,5,ノーブルサターン,牡4,54.0,蛯名正義,1:53.3,3/4,**,7-11-12-9,38.3,154.6,15.0,500(-4),,,,[西]牧浦充徳,吉木伸彦,
15,16,6,11,ツクバアズマオー,牡7,56.0,柴田善臣,1:56.1,大,**,11-9-9-14,41.2,132.0,12.0,484(+8),,,,[東]根本康広,荻原昭二,
0,1,1,1,スビールアスール,牝4,55.0,大野拓弥,1:10.1,,**,2-2,36.5,9.2,4.0,486(0),,,,[東]武藤善則,アスール,"1,050.0"
1,2,4,8,ヤサシサ,牝4,55.0,浜中俊,1:10.3,1.1/2,**,1-1,36.9,4.7,2.0,500(+2),,,,[西]奥村豊,佐久間拓士,420.0
2,3,2,3,ボクノナオミ,牝6,53.0,菊沢一樹,1:10.6,1.3/4,**,5-3,36.7,32.4,10.0,492(0),,,,[西]池添学,塩澤正樹,260.0
3,4,5,10,シェーナ,牝3,54.0,戸崎圭太,1:11.0,2.1/2,**,13-13,36.5,15.6,5.0,458(-4),,,,[東]萩原清,ノースヒルズ,160.0
4,5,8,16,オーヴォドーロ,牝3,54.0,モレイラ,1:11.0,ハナ,**,7-4,37.0,2.8,1.0,468(+6),,,,[東]久保田貴,諸江幸祐,105.0
5,6,2,4,パワフルヒロコ,牝4,55.0,三浦皇成,1:11.0,ハナ,**,5-8,37.2,40.8,11.0,444(-2),,,,[西]飯田雄三,三宅勝俊,
6,7,6,12,ディーズフェイク,牝3,54.0,柴田善臣,1:11.0,ハナ,**,13-13,36.5,18.6,7.0,474(+10),,,,[東]藤原辰雄,秋谷壽之,
7,8,3,5,ペイシャバラード,牝5,55.0,嘉藤貴行,1:11.0,ハナ,**,10-8,36.9,101.3,15.0,472(+14),,,,[東]高市圭二,北所直人,
8,9,6,11,メイショウタラチネ,牝6,55.0,丸田恭介,1:11.0,ハナ,**,10-10,36.8,16.8,6.0,470(-4),,,,[西]高橋義忠,松本好雄,
9,10,3,6,エヴォリューション,牝7,55.0,丸山元気,1:11.2,1,**,13-11,36.6,49.2,13.0,486(0),,,,[西]高柳大輔,岡田隆寛,
10,11,1,2,セイウンリリシイ,牝3,54.0,田中勝春,1:11.9,4,**,2-4,38.3,23.0,8.0,466(+2),,,,[東]水野貴広,西山茂行,
11,12,8,15,ミッキーオフィサー,牝5,55.0,石川裕紀,1:12.1,1.1/4,**,16-16,37.2,194.1,16.0,448(-12),,,,[東]萩原清,野田みづき,
12,13,7,13,オジョーノキセキ,牝3,54.0,田辺裕信,1:12.2,3/4,**,7-4,38.2,5.0,3.0,504(+10),,,,[東]伊藤大士,前原敏行,
13,14,4,7,ニシノオリーブ,牝3,54.0,勝浦正樹,1:12.3,クビ,**,7-11,38.3,62.7,14.0,458(+10),,,,[東]武藤善則,西山茂行,
14,15,7,14,ダイワプロパー,牝6,55.0,北村宏司,1:12.4,3/4,**,10-13,38.2,44.0,12.0,482(-6),,,,[東]池上昌和,大城敬三,
15,16,5,9,コマノレジェンド,牝4,52.0,木幡育也,1:12.4,ハナ,**,4-4,38.7,31.1,9.0,474(+6),,,,[東]伊藤圭三,長谷川芳信,
0,1,1,1,アポロチーター,牡2,55.0,石川裕紀,1:11.6,,**,1-1,37.7,1.2,1.0,516(+4),,,,[東]岩戸孝樹,アポロサラブレッドクラブ,500.0
1,2,8,15,パイロジェン,牡2,55.0,内田博幸,1:12.1,3,**,2-3,38.1,8.9,2.0,452(-4),,,,[東]伊藤圭三,ゴドルフィン,200.0
2,3,5,10,シゲルスピネル,牝2,54.0,江田照男,1:12.2,1/2,**,2-2,38.2,9.1,3.0,444(0),,,,[東]和田勇介,森中蕃,130.0
3,4,7,13,シゲルアコヤガイ,牝2,53.0,武藤雅,1:13.0,5,**,13-12,37.6,33.4,6.0,430(0),,,,[東]水野貴広,森中蕃,75.0
4,5,6,11,フォアシザフューチ,牡2,55.0,宮崎北斗,1:13.0,アタマ,**,4-4,38.6,47.6,7.0,454(+2),,,,[東]中川公成,西森鶴,50.0
5,6,4,8,シゲルトルマリン,牝2,54.0,丸田恭介,1:13.2,1.1/2,**,15-14,37.1,146.3,12.0,438(-4),,,,[東]武藤善則,森中蕃,
6,7,8,16,マメシボリ,牡2,55.0,嘉藤貴行,1:13.2,ハナ,**,4-4,38.8,29.7,5.0,412(+6),,,,[東]奥平雅士,ミルファーム,
7,8,4,7,シャインベスト,牝2,52.0,横山武史,1:13.5,1.1/2,**,6-7,38.8,91.3,10.0,436(0),,,,[東]青木孝文,加藤牧場,
8,9,1,2,クラーロデラルナ,牝2,51.0,木幡育也,1:13.6,3/4,**,10-9,38.5,333.0,14.0,432(-10),,,,[東]加藤和宏,平本敏夫,
9,10,5,9,ヒカルフラッシュ,牡2,55.0,北村宏司,1:13.8,3/4,**,10-10,38.6,79.4,9.0,476(+6),,,,[東]柄崎孝,安蒜一修,
10,11,2,4,クリノカリビアン,牝2,54.0,勝浦正樹,1:13.8,ハナ,**,6-6,39.1,111.6,11.0,426(+6),,,,[東]高橋義博,栗本博晴,
11,12,2,3,カシノラウト,牡2,54.0,藤田菜七,1:14.1,1.3/4,**,8-8,39.1,49.9,8.0,480(-4),,,,[東]和田雄二,柏木務,
12,13,3,6,ニシノマリアージュ,牝2,54.0,丹内祐次,1:14.3,1.1/4,**,14-14,38.3,378.4,15.0,408(-6),,,,[東]松永康利,西山茂行,
13,14,3,5,カガファランドール,牝2,54.0,三浦皇成,1:15.0,4,**,16-16,38.1,276.9,13.0,402(+4),,,,[東]大江原哲,香川憲次,
14,15,6,12,コケラオトシ,牡2,52.0,野中悠太,1:15.1,1/2,**,8-12,40.2,411.6,16.0,466(+2),,,,[東]小笠倫弘,岡浩二,
15,16,7,14,ケイスター,牝2,54.0,大野拓弥,1:15.2,3/4,**,10-10,40.1,20.2,4.0,456(+6),,,,[東]杉浦宏昭,桑野克己,
0,1,5,10,オルダージュ,牡2,55.0,戸崎圭太,1:12.2,,**,1-1,38.1,2.3,1.0,472(+8),,,,[東]青木孝文,ノルマンディーサラブレッドレーシング,500.0
1,2,8,15,アイアムハヤスギル,牡2,55.0,黛弘人,1:12.4,1.1/4,**,2-2,38.2,6.5,3.0,474(-2),,,,[東]奥平雅士,堀紘一,200.0
2,3,2,3,マイネルナイペス,牡2,55.0,丹内祐次,1:12.5,3/4,**,7-4,37.9,5.3,2.0,446(+6),,,,[東]伊藤圭三,サラブレッドクラブ・ラフィアン,130.0
3,4,1,2,ボルンタード,牡2,55.0,内田博幸,1:13.2,4,**,5-4,38.7,27.2,7.0,464(+8),,,,[東]高橋義博,西森鶴,75.0
4,5,1,1,テクノドリーム,牡2,52.0,野中悠太,1:13.2,クビ,**,2-2,38.9,16.8,5.0,458(+4),,,,[東]田中博康,西村健,50.0
5,6,6,12,ラブインブルーム,牝2,54.0,武士沢友,1:13.2,ハナ,**,13-12,37.6,87.9,12.0,418(-2),,,,[東]萱野浩二,大樹ファーム,
6,7,4,8,セクシオンドール,牝2,54.0,大野拓弥,1:13.4,1.1/4,**,10-7,38.6,6.6,4.0,478(-2),,,,[東]和田勇介,梶本尚嗣,
7,8,8,16,ゴールデンチョイス,牡2,54.0,武藤雅,1:14.1,4,**,11-11,39.1,21.2,6.0,466(+12),,,,[東]武藤善則,田島榮二郎,
8,9,4,7,カフェドラペ,牝2,54.0,田中勝春,1:14.2,1/2,**,7-10,39.6,28.7,8.0,450(-2),,,,[東]杉浦宏昭,吉田千津,
9,10,3,6,アスペリタス,牡2,55.0,杉原誠人,1:14.5,1.3/4,**,14-14,38.5,83.5,11.0,424(+8),,,,[東]和田勇介,ミルファーム,
10,11,5,9,クリュサネル,牡2,55.0,北村友一,1:14.7,1.1/4,**,5-7,40.2,29.4,9.0,516(0),,,,[東]田島俊明,熊谷貴之,
11,12,7,13,スターオブワンダー,牡2,52.0,木幡育也,1:14.8,1/2,**,14-14,38.8,446.2,15.0,408(+4),,,,[東]大江原哲,伊東純一,
12,13,3,5,モンサンスペラーレ,牡2,54.0,木幡巧也,1:14.9,クビ,**,7-7,40.2,52.1,10.0,462(+18),,,,[東]牧光二,山下新一,
13,14,7,14,ホロポノ,牡2,55.0,嘉藤貴行,1:14.9,ハナ,**,16-16,38.6,595.6,16.0,448(0),,,,[東]佐藤吉勝,平本敏夫,
14,15,6,11,ニシノポンパドール,牝2,54.0,嶋田純次,1:15.8,5,**,2-6,41.6,232.6,13.0,452(0),,,,[東]本間忍,西山茂行,
15,16,2,4,ハッピービギニング,牝2,53.0,木幡初也,1:16.3,3,**,11-12,41.3,376.8,14.0,472(-6),,,,[東]南田美知,鹽田久義,
0,1,8,15,キュアン,牡2,55.0,田辺裕信,1:57.9,,**,2-2-1-1,39.3,4.2,3.0,514(+4),,,,[東]林徹,松谷翔太,500.0
1,2,5,10,アシャカトブ,牡2,54.0,武藤雅,1:58.1,1.1/2,**,13-13-11-9,38.7,3.4,2.0,496(+4),,,,[東]小笠倫弘,吉冨学,200.0
2,3,3,6,マノアフォールズ,牡2,55.0,Ｃ．デム,1:58.2,3/4,**,4-4-4-2,39.4,2.4,1.0,456(+2),,,,[東]斎藤誠,ＫＴレーシング,130.0
3,4,2,3,コスモアニモーソ,牡2,55.0,嘉藤貴行,1:58.9,4,**,4-4-5-5,40.0,11.5,4.0,454(+2),,,,[東]田中清隆,ビッグレッドファーム,75.0
4,5,7,13,ベルウッドカザン,牡2,55.0,黛弘人,1:59.0,1/2,**,9-8-5-2,40.1,124.4,11.0,498(+10),,,,[東]和田雄二,鈴木照雄,50.0
5,6,2,4,ロネガン,牡2,55.0,丹内祐次,1:59.7,4,**,9-9-9-9,40.5,104.8,9.0,516(-2),,,,[東]和田雄二,田島榮二郎,
6,7,7,14,ボーンインメイ,牝2,54.0,柴田大知,2:00.0,2,**,4-4-5-5,41.1,69.0,6.0,428(-4),,,,[東]金成貴史,サラブレッドクラブ・ラフィアン,
7,8,5,9,タイムアクシス,牝2,54.0,宮崎北斗,2:00.1,1/2,**,3-2-3-2,41.4,79.9,7.0,460(+8),,,,[東]青木孝文,長塩豊,
8,9,1,1,ロマンチョウサン,牝2,54.0,松岡正海,2:00.2,クビ,**,13-13-12-12,40.6,87.3,8.0,440(+6),,,,[東]松永康利,チョウサン,
9,10,4,7,フライトストリーム,牡2,55.0,アヴドゥ,2:00.4,1,**,7-7-8-7,41.4,12.9,5.0,472(+6),,,,[東]高柳瑞樹,シルクレーシング,
10,11,6,11,アスカエンペラー,牡2,52.0,野中悠太,2:00.5,3/4,**,9-9-9-7,41.4,171.9,12.0,474(0),,,,[東]本間忍,上野武,
11,12,8,16,パーティーアニマル,牡2,54.0,木幡巧也,2:01.0,3,**,16-16-16-15,40.6,224.0,13.0,442(+2),,,,[東]伊藤伸一,田頭勇貴,
12,13,3,5,トモジャナイト,牡2,55.0,石川裕紀,2:01.7,4,**,7-9-13-13,41.9,121.8,10.0,508(+8),,,,[東]加藤和宏,吉冨学,
13,14,4,8,クリキンツバ,牝2,54.0,武士沢友,2:02.3,3.1/2,**,9-12-14-14,42.4,472.8,16.0,466(0),,,,[東]星野忍,田頭勇貴,
14,15,1,2,サンマッキニー,牡2,55.0,嶋田純次,2:02.5,1,**,13-15-15-15,42.4,244.5,14.0,458(+6),,,,[東]高橋文雅,加藤信之,
15,16,6,12,ラスティングライ,牡2,52.0,木幡育也,2:03.8,8,**,1-1-2-9,45.2,303.4,15.0,478(-10),,,,[東]佐藤吉勝,松谷翔太,
0,1,5,7,ライラックカラー,牡3,56.0,ビュイッ,1:33.1,,**,12-12-10,34.3,2.4,1.0,454(-2),,,,[東]藤沢和雄,山本英俊,"1,050.0"
1,2,6,9,アイスフィヨルド,牡3,56.0,三浦皇成,1:33.2,1/2,**,6-8-8,34.7,4.2,2.0,446(-4),,,,[東]武藤善則,佐々木雄二,420.0
2,3,3,3,エルプシャフト,牡5,57.0,モレイラ,1:33.2,アタマ,**,2-3-4,35.2,4.6,3.0,454(-4),,,,[西]中竹和也,サンデーレーシング,260.0
3,4,8,12,アドマイヤシナイ,牡4,57.0,田辺裕信,1:33.3,3/4,**,9-9-5,34.7,11.8,4.0,472(+6),,,,[東]上原博之,近藤利一,160.0
4,5,7,11,サンクロワ,牡5,57.0,内田博幸,1:33.4,3/4,**,5-3-2,35.4,27.1,7.0,470(+2),,,,[東]斎藤誠,Ｇ１レーシング,105.0
5,6,8,13,ベストリゾート,牡4,57.0,北村宏司,1:33.6,1.1/2,**,10-5-5,35.3,45.6,11.0,486(+2),,,,[東]木村哲也,保坂和孝,
6,7,7,10,ドウディ,牡4,57.0,丸山元気,1:33.7,クビ,**,4-5-5,35.5,44.6,10.0,488(-2),,,,[東]佐藤吉勝,ｅ馬主組合,
7,8,2,2,ペルソナリテ,牝5,55.0,柴田大知,1:33.8,3/4,**,6-5-8,35.5,33.5,9.0,444(+2),,,,[東]相沢郁,サラブレッドクラブ・ラフィアン,
8,9,5,6,トーホウアイレス,牝4,55.0,蛯名正義,1:34.2,2.1/2,**,12-10-11,35.5,28.5,8.0,480(+2),,,,[東]田中清隆,東豊物産,
9,10,1,1,ヴェアリアスサマー,牡7,54.0,野中悠太,1:34.4,3/4,**,1-1-1,36.6,17.0,6.0,512(+12),,,,[東]伊藤大士,小林秀樹,
10,11,4,4,インシュラー,セ4,57.0,戸崎圭太,1:34.4,アタマ,**,2-2-2,36.5,12.3,5.0,456(+2),,,,[東]宗像義忠,シルクレーシング,
11,12,6,8,ピナクルズ,セ5,54.0,木幡育也,1:35.1,4,**,10-12-11,36.3,117.9,12.0,510(-4),,,,[東]大江原哲,ライオンレースホース,
12,13,4,5,ダイワドレッサー,牝5,55.0,石川裕紀,1:35.8,4,**,6-10-13,37.1,192.5,13.0,466(-6),,,,[東]鹿戸雄一,大城敬三,
0,1,8,15,レッドフレイ,牡3,56.0,ビュイッ,1:51.4,,**,2-2-3-3,37.4,2.4,1.0,470(0),,,,[東]木村哲也,東京ホースレーシング,750.0
1,2,4,7,グロンフォール,牡3,56.0,モレイラ,1:52.2,5,**,10-10-1-1,38.7,3.0,2.0,574(-6),,,,[東]新開幸一,シルクレーシング,300.0
2,3,2,3,レオアルティメット,牡3,56.0,江田照男,1:52.7,3,**,1-1-2-2,39.2,38.1,8.0,540(+4),,,,[東]牧光二,レオ,190.0
3,4,5,8,スピアザゴールド,セ5,57.0,大野拓弥,1:52.8,3/4,**,13-13-11-9,38.0,7.6,4.0,498(+20),,,,[東]久保田貴,キャロットファーム,110.0
4,5,6,10,ディスカバー,牡4,57.0,田中勝春,1:53.2,2.1/2,**,7-7-8-6,38.7,51.1,10.0,482(+4),,,,[東]畠山吉宏,村野康司,75.0
5,6,7,13,トミケンエンデレア,牡3,53.0,野中悠太,1:53.4,1.1/4,**,15-15-15-13,38.0,23.0,6.0,500(-4),,,,[東]伊藤大士,冨樫賢二,
6,7,3,5,クリップスプリンガ,牡4,56.0,木幡巧也,1:53.7,1.3/4,**,8-8-8-9,39.1,26.4,7.0,446(+6),,,,[東]岩戸孝樹,山下良子,
7,8,1,1,ボールドスパルタン,牡3,56.0,嘉藤貴行,1:54.4,4,**,4-4-4-4,40.1,143.7,14.0,464(+8),,,,[東]大和田成,増田陽一,
8,9,5,9,カガスター,牡3,56.0,戸崎圭太,1:54.4,クビ,**,12-11-4-6,40.0,7.6,3.0,452(+10),,,,[東]高市圭二,香川憲次,
9,10,2,2,マイネルネッツ,牡6,57.0,柴田大知,1:54.5,クビ,**,5-4-4-4,40.2,54.5,11.0,490(+4),,,,[東]水野貴広,サラブレッドクラブ・ラフィアン,
10,11,8,14,ゴールドパッション,牡3,56.0,北村宏司,1:54.5,クビ,**,8-8-11-11,39.7,45.6,9.0,516(+4),,,,[東]青木孝文,居城寿与,
11,12,3,4,サクラトップスター,牡3,56.0,武士沢友,1:54.9,2.1/2,**,11-11-14-15,39.8,96.0,13.0,470(+12),,,,[東]奥平雅士,トップフェロウ,
12,13,4,6,ヤマタケパンチ,牡3,56.0,内田博幸,1:54.9,クビ,**,13-13-13-11,40.0,282.9,15.0,494(+4),,,,[東]萱野浩二,山中和子,
13,14,6,11,ウインドオブホープ,セ5,57.0,勝浦正樹,1:55.5,3.1/2,**,2-3-4-8,41.2,19.3,5.0,534(0),,,,[東]石毛善彦,木村牧場,
14,15,7,12,シンボリブーケ,牝4,53.0,菊沢一樹,1:56.3,5,**,5-6-8-13,41.7,68.9,12.0,482(+6),,,,[東]伊藤圭三,岡田壮史,
0,1,3,6,クイーンズテソーロ,牝3,54.0,木幡巧也,1:10.2,,**,3-3,36.0,6.5,3.0,462(+4),,,,[東]畠山吉宏,了徳寺健二ホールディングス,"1,853.6"
1,2,5,9,スマートレイチェル,牝4,55.0,酒井学,1:10.3,3/4,**,1-1,36.4,4.2,2.0,486(0),,,,[西]西園正都,大川徹,739.6
2,3,1,1,ビービーサレンダー,牡5,57.0,田辺裕信,1:10.6,1.3/4,**,9-9,35.9,14.1,6.0,502(+4),,,,[東]久保田貴,坂東牧場,464.8
3,4,2,4,ヴォーガ,牡4,57.0,戸崎圭太,1:10.7,3/4,**,7-6,36.3,11.6,5.0,454(+4),,,,[西]森秀行,一村哲也,270.0
4,5,3,5,ライジングリーズン,牝4,55.0,大野拓弥,1:10.9,3/4,**,7-6,36.6,37.0,10.0,490(+2),,,,[東]奥村武,岡田牧雄,182.0
5,6,1,2,モアニケアラ,牝6,55.0,横山典弘,1:10.9,クビ,**,12-11,36.1,23.5,9.0,466(-6),,,,[西]松永幹夫,名古屋友豊,
6,7,5,10,オーヴァーライト,牡3,56.0,内田博幸,1:11.0,クビ,**,13-11,36.0,2.8,1.0,504(+4),,,,[東]手塚貴久,サンデーレーシング,
7,8,7,14,サーティグランド,セ6,57.0,水口優也,1:11.2,1.1/4,**,13-15,36.2,22.7,8.0,506(+2),,,,[西]田所秀孝,山上和良,
8,9,6,11,コンテナ,牡6,57.0,柴田善臣,1:11.2,アタマ,**,9-10,36.5,110.2,12.0,600(-14),,,,[西]牧浦充徳,住谷孝一,
9,10,7,13,ラバニーユ,牝6,55.0,蛯名正義,1:11.3,1/2,**,16-15,36.2,248.7,14.0,440(-4),,,,[西]森田直行,前田幸治,
10,11,4,8,ワイドリーザワン,牡6,57.0,石川裕紀,1:11.4,3/4,**,13-11,36.5,60.0,11.0,462(+8),,,,[東]奥村武,坂本浩一,
